DateTime,AddedIPs,RemovedIPs
1497033015,256,256
1497045278,256,256
1497072623,256,256
1497081034,256,256
1497109978,2048,2048
1497113403,256,256
1497115817,256,256
1497124436,256,256
1497130220,256,256
1497139207,256,256
1497144619,256,256
1497159022,256,256
1497199892,1792,1792
1497202216,256,256
1497203516,256,256
1497209420,512,512
1497218044,256,256
1497221958,256,256
1497223817,256,256
1497225274,512,512
1497228566,256,256
1497245423,256,256
1497271926,2048,2048
1497274212,512,512
1497276007,512,512
1497281415,256,256
1497282724,256,256
1497295819,256,256
1497297268,256,256
1497303021,256,256
1497304550,256,256
1497310221,256,256
1497311759,256,256
1497313819,256,256
1497315615,256,256
1497338106,256,256
1497344467,512,512
1497351054,768,768
1497358349,512,512
1497372835,512,512
1497380051,2048,2048
1497382218,256,256
1497383588,256,256
1497385817,256,256
1497394649,512,512
1497400220,256,256
1497409061,256,256
1497451972,1280,1280
1497454212,256,256
1497468618,256,256
1497487818,256,256
1497499219,256,256
1497538391,2816,2816
1497544217,256,256
1497547818,256,256
1497549212,256,256
1497552900,512,512
1497563835,256,256
1497567395,256,256
1497569420,512,512
1497574214,256,256
1497578335,256,256
1497580221,256,256
1497591027,256,256
1497628452,1536,1536
1497631853,256,256
1497639272,256,256
1497641418,256,256
1497655820,256,256
1497660614,256,256
1497668359,256,256
1497681022,256,256
1497714709,2304,2304
1497718289,256,256
1497722022,256,256
1497725661,256,256
1497727821,256,256
1497729279,256,256
1497735022,256,256
1497736513,256,256
1497740281,512,512
1497743805,256,256
1497753021,256,256
1497774628,256,256
1497801167,1536,1536
1497808368,256,256
1497810619,256,256
1497811779,256,256
1497814218,256,256
1497815638,256,256
1497818997,256,256
1497840648,256,256
1497855483,256,256
1497883982,1792,1792
1497897015,256,256
1497898525,256,256
1497970404,1792,1792
1497972617,256,256
1497973986,256,256
1497979819,256,256
1497984936,256,256
1497991840,256,256
1497995821,256,256
1497997822,256,256
1497999321,256,256
1498008626,512,512
1498019426,256,256
1498060441,1280,1280
1498062619,256,256
1498063987,256,256
1498071238,256,256
1498080620,256,256
1498087820,256,256
1498147211,2304,2304
1498150399,256,256
1498157697,512,512
1498164850,256,256
1498167019,256,256
1498170624,256,256
1498172167,256,256
1498174227,512,512
1498176016,256,256
1498179027,256,256
1498233136,1792,1792
1498236756,256,256
1498244073,512,512
1498246216,256,256
1498247642,256,256
1498251070,256,256
1498259325,256,256
1498282224,256,256
1498323174,2048,2048
1498327481,512,512
1498343423,256,256
1498395954,1792,1792
1498397416,256,256
1498401018,256,256
1498404944,256,256
1498410907,512,512
1498422622,256,256
1498424850,256,256
1498428110,256,256
1498433425,256,256
1498436107,256,256
1498437021,256,256
1498489384,1024,1024
1498491017,256,256
1498496413,256,256
1498498221,256,256
1498500015,256,256
1498506949,256,256
1498509021,256,256
1498510329,256,256
1498514283,256,256
1498516225,256,256
1498521544,256,256
1498524684,256,256
1498546281,256,256
1498575034,1024,1024
1498577421,256,256
1498584622,256,256
1498586043,256,256
1498596876,256,256
1498600330,256,256
1498614718,256,256
1498650764,1280,1280
1498654343,256,256
1498656621,256,256
1498658500,512,512
1498663822,512,512
1498665289,256,256
1498671020,512,512
1498678220,256,256
1498690688,256,256
1498692623,256,256
1498719647,256,256
1498734170,256,256
1498773624,2048,2048
1498775418,256,256
1498777039,256,256
1498779019,256,256
1498780702,256,256
1498782622,256,256
1498787888,256,256
1498794707,256,256
1498806091,256,256
1498836622,256,256
1498845616,256,256
1498848795,1792,1792
1498859745,256,256
1498869021,256,256
1498924189,1024,1024
1498926615,256,256
1498927867,256,256
1498937416,256,256
1498942336,256,256
1498953276,256,256
1498996278,1280,1280
1498999972,256,256
1499005815,256,256
1499007166,256,256
1499011205,256,256
1499017720,256,256
1499021625,256,256
1499027421,256,256
1499028979,256,256
1499031023,256,256
1499045427,256,256
1499100687,1792,1792
1499108105,256,256
1499110218,256,256
1499114961,256,256
1499117422,256,256
1499129348,256,256
1499136947,256,256
1499190654,2048,2048
1499194427,512,512
1499201385,256,256
1499207416,256,256
1499209637,256,256
1499212829,256,256
1499216427,256,256
1499238030,256,256
1499252434,256,256
1499266975,256,256
1499277623,1280,1280
1499282392,256,256
1499295630,256,256
1499297096,256,256
1499302835,256,256
1499306428,256,256
1499310030,256,256
1499338833,256,256
1499353231,256,256
1499364029,1024,1024
1499367630,512,512
1499378431,256,256
1499383810,512,512
1499392830,256,256
1499396432,256,256
1499410836,256,256
1499439636,256,256
1499462106,1536,1536
1499462326,256,256
1499464812,256,256
1499472037,512,512
1499475856,256,256
1499482844,256,256
1499497562,256,256
1499499021,256,256
1499500948,256,256
1499512037,256,256
1499522475,1280,1280
1499526169,256,256
1499527811,256,256
1499531417,256,256
1499533302,256,256
1499538619,256,256
1499551317,256,256
1499556622,256,256
1499563822,256,256
1499569425,256,256
1499583006,256,256
1499612133,256,256
1499629795,1792,1792
1499683905,256,256
1499694831,512,512
1499699083,1792,1792
1499701787,256,256
1499704210,256,256
1499705511,512,512
1499711418,256,256
1499725819,256,256
1499727036,256,256
1499747421,256,256
1499757309,256,256
1499771707,256,256
1499774416,2048,2048
1499782507,512,512
1499793306,256,256
1499808630,256,256
1499812223,256,256
1499815823,256,256
1499837430,256,256
1499855435,256,256
1499874617,1024,1024
1499877017,256,256
1499888929,256,256
1499891426,512,512
1499914165,256,256
1499964537,1280,1280
1499970616,256,256
1499977820,256,256
1499985019,256,256
1499992221,256,256
1499993365,256,256
1500000577,256,256
1500013831,256,256
1500054669,1792,1792
1500061779,256,256
1500065393,256,256
1500075020,256,256
1500078619,256,256
1500079785,256,256
1500126603,1024,1024
1500136215,256,256
1500137411,256,256
1500141037,256,256
1500143419,256,256
1500147019,256,256
1500157825,256,256
1500223793,2048,2048
1500234571,256,256
1500238243,256,256
1500241988,256,256
1500248964,256,256
1500306568,1792,1792
1500309018,256,256
1500313771,256,256
1500316211,256,256
1500323419,256,256
1500327018,256,256
1500332032,256,256
1500335409,256,256
1500337821,512,512
1500348621,256,256
1500349801,256,256
1500375122,2304,2304
1500377413,256,256
1500378574,256,256
1500384617,256,256
1500396824,256,256
