DateTime,AddedIPs,RemovedIPs
1493119631,94,0
1493137185,30,76
1493160167,80,45
1493183147,20,85
1493211171,88,115
1493223139,25,34
1493252403,86,72
1493270009,30,29
1493296811,82,85
1493310015,39,0
1493332702,75,38
1493356000,45,73
1493383600,71,47
1493396061,21,111
1493424095,79,83
1493442398,29,28
1493469191,72,0
1493482116,27,63
1493509312,83,36
1493529150,29,103
1493556083,99,73
1493568826,35,38
1493597684,105,77
1493615722,40,0
1493642586,104,43
1493655030,43,89
1493683932,98,141
1493701985,34,0
1493729435,96,137
1493741704,34,0
1493768674,93,130
1493788087,35,0
1493814444,103,43
1493828261,37,85
1493856392,98,135
1493874602,32,54
1493901548,105,91
1493914436,36,36
1493942201,94,0
1493961268,32,96
1493987957,84,53
1494001052,28,136
1494028317,92,84
1494047397,38,0
1494074015,86,35
1494086834,32,77
1494114717,82,34
1494133426,42,71
1494160559,83,123
1494174159,28,0
1494196120,99,46
1494220686,24,121
1494243431,96,0
1494260448,30,116
1494282437,95,87
1494307240,31,0
1494328311,94,130
1494346683,34,0
1494370095,96,128
1494393155,35,36
1494420158,86,86
1494433242,21,46
1494455714,89,0
1494479618,32,84
1494506183,81,39
1494519198,29,69
1494546724,77,117
1494565610,29,0
1494591435,88,29
1494605159,26,76
1494631216,81,37
1494652023,24,111
1494677982,89,78
1494692136,22,28
1494719150,101,80
1494738101,29,0
1494764236,91,36
1494778080,36,81
1494805311,92,34
1494824880,40,86
1494849684,90,126
1494864504,33,0
1494891032,95,41
1494911637,26,136
1494937206,97,83
1494951760,28,43
1494972489,95,0
1494997569,29,83
1495023374,84,42
1495037176,23,81
1495063634,85,122
1495083854,32,31
1495109812,88,81
1495123695,24,35
1495151890,82,84
1495170900,29,0
1495196600,85,103
1495210083,21,36
1495236840,79,0
1495256222,25,111
1495282296,91,0
1495296067,37,71
1495323533,90,118
1495342536,34,0
1495368084,91,40
1495382615,54,78
1495410066,88,123
1495429109,37,65
1495453905,99,0
1495468466,37,136
1495495292,97,0
1495514915,34,123
1495535154,91,0
1495554428,20,125
1495575323,86,0
1495601328,20,87
1495621738,88,104
1495640426,29,0
1495661602,91,36
1495687486,23,107
1495707926,90,0
1495727863,26,118
1495754329,96,84
1495774333,46,37
1495795086,84,77
1495814822,41,56
1495840922,99,79
1495861399,51,47
1495886777,87,84
1495901215,33,0
1495928310,77,151
1495947365,37,0
1495973231,93,115
1495987365,30,41
1496015323,92,80
1496034125,29,40
1496061194,96,79
1496073640,25,37
1496100520,93,0
1496120404,30,117
1496146241,94,0
1496159599,29,81
1496185259,91,35
1496206397,28,92
1496229847,93,127
1496246082,25,30
1496272778,94,87
1496293164,30,39
1496318872,85,81
1496333209,29,30
1496359975,90,86
1496379709,49,42
1496406041,82,0
1496419970,26,81
1496447866,82,142
1496466374,58,36
1496492892,78,0
1496505649,23,102
1496532992,77,0
1496552875,54,108
1496579257,78,99
1496592110,19,0
1496619763,74,27
1496638897,34,129
1496665313,76,0
1496678530,32,77
1496705741,78,112
1496725538,38,29
1496752601,94,77
1496765168,43,32
1496791908,94,0
1496811870,64,78
1496838420,69,45
1496851485,25,81
1496879192,75,157
1496898027,71,0
1496924136,85,32
1496937952,43,69
1496965407,80,36
1496984753,69,167
1497010663,74,73
1497024223,32,32
1497050612,81,0
1497071124,76,117
1497097710,80,107
1497110345,35,49
1497137869,86,113
1497157872,59,44
1497183893,81,0
1497196424,30,119
1497223865,86,0
1497244094,67,103
1497270796,81,37
1497283575,44,131
1497310610,79,76
1497330579,87,65
1497356790,89,74
1497369561,50,0
1497396889,82,69
1497416804,78,92
1497443553,78,62
1497456057,43,137
1497482930,88,0
1497502827,65,88
1497528263,72,67
1497542398,58,69
1497568053,75,70
1497589316,52,75
1497616629,80,125
1497628572,46,0
1497654590,80,62
1497675847,43,78
1497701703,75,62
1497714762,39,117
1497741660,82,71
1497761887,40,51
1497787593,89,0
1497801352,34,66
1497828120,69,46
1497848111,45,116
1497873549,90,71
1497887473,62,0
1497914434,83,47
1497934682,63,67
1497960569,89,154
1497973697,50,78
1497995238,87,0
1498019581,51,73
1498040033,87,66
1498060009,55,147
1498086135,73,68
1498106873,60,73
1498127619,83,63
1498145740,31,0
1498166066,80,63
1498192589,45,76
1498212516,81,44
1498232639,83,122
1498255073,103,80
1498279216,90,56
1498300190,84,0
1498318762,67,99
1498338397,94,76
1498365708,68,166
1498385552,80,96
1498405001,48,0
1498430279,83,162
1498453004,77,0
1498477775,85,132
1498491965,95,85
1498511894,124,0
1498538423,80,77
1498558637,89,69
1498577822,72,204
1498598378,115,115
1498624876,59,0
1498644297,82,154
1498664335,36,0
1498684455,101,182
1498711086,64,0
1498730529,83,38
1498750623,36,81
1498771183,90,45
1498797684,61,150
1498817471,82,85
1498837160,17,38
1498857481,83,117
1498884240,62,27
1498904770,87,77
1498923361,24,0
1498943875,80,24
1498970206,63,147
1498990715,90,0
1499009959,18,101
1499031016,80,112
1499057105,58,36
1499076876,80,76
1499095930,20,0
1499117727,77,24
1499142989,63,139
1499163390,86,0
1499182786,18,108
1499204299,73,113
1499229517,56,24
1499250129,84,69
1499269003,23,0
1499290807,77,136
1499316844,59,0
1499344333,90,109
1499357160,28,30
1499385041,84,109
1499404535,65,37
1499424775,93,0
1499443153,20,67
1499469041,89,47
1499490786,49,147
1499512162,80,0
1499530048,22,114
1499556856,93,0
1499577262,33,135
1499598146,89,70
1499616782,20,0
1499638384,101,41
1499663154,40,92
1499688267,90,100
1499703017,22,46
1499730150,83,99
1499750023,55,33
1499770846,85,0
1499789216,16,115
1499815317,94,0
1499836148,27,102
1499861694,87,100
1499876027,26,0
1499896700,110,34
1499922148,31,81
1499947384,90,41
1499961890,23,71
1499988294,94,141
1500009151,28,43
1500029281,93,0
1500048518,19,111
1500075709,105,85
1500095459,34,37
1500121406,81,80
1500135579,56,0
1500157218,123,55
1500180866,53,86
1500207257,80,28
1500220523,53,98
1500248150,117,177
1500268222,66,35
1500294721,99,98
1500308034,67,61
1500328796,122,0
1500354662,49,116
1500381112,92,172
1500394174,50,0
1500420749,112,171
1500441449,58,43
