DateTime,Entries,UniqueIPs
1462752971,49,50
1462837454,87,90
1462925795,50,50
1463011243,92,96
1463096181,93,94
1463260095,48,50
1463348647,48,50
1463433137,89,93
1463521690,48,50
1463606657,94,96
1463695225,50,50
1463781629,49,50
1463868491,49,50
1463953218,89,92
1464043450,48,50
1464127933,84,87
1464216255,48,50
1464302891,49,50
1464387610,81,86
1464475939,49,50
1464560649,86,90
1464648979,48,50
1464733455,84,87
1464821777,47,50
1464906505,83,88
1464994845,47,50
1465079539,85,88
1465168097,48,50
1465300574,49,50
1465389131,46,50
1465473627,85,90
1465561455,49,50
1465649778,50,50
1465734503,93,94
1465823064,48,50
1465907853,82,86
1465996341,47,50
1466081540,85,89
1466166494,87,91
1466254838,48,50
1466343613,50,50
1466428346,89,89
1466516657,49,50
1466601142,82,87
1466689459,49,50
1466777778,50,50
1466862253,91,91
1466950815,50,50
1467039628,48,50
1467124340,84,87
1467209053,89,92
1467297372,49,50
1467387847,48,50
1467672268,48,50
1467757214,84,88
1467845776,47,50
1467930755,85,89
1468019547,50,50
1468102584,86,87
1468191143,49,50
1468277534,85,88
1468362256,87,88
1468451781,49,50
1468536254,87,92
1468625060,47,50
1468709552,85,89
1468796431,49,50
1468882830,83,86
1468971141,50,50
1469055864,94,94
1469144196,50,50
1469228654,91,91
1469315058,50,50
1469401695,50,50
1469490013,50,50
1469578576,50,50
1469663064,92,92
1469751401,50,50
1469835851,92,95
1469924187,50,50
1470008649,92,92
1470095299,48,50
1470181703,50,50
1470270016,49,50
1470358333,50,50
1470442833,87,87
1470531138,46,50
1470615616,79,85
1470702257,48,50
1470790573,45,50
1470874911,70,78
1470963378,44,50
1471048111,73,82
1471136451,49,50
1471224736,49,50
1471309230,93,94
1471397536,49,50
1471482033,88,90
1471570589,49,50
1471655800,89,94
1471744342,49,50
1471829060,85,88
1471917862,49,50
1472004496,47,50
1472089212,83,88
1472177802,48,50
1472262317,89,91
1472349142,49,50
1472437934,48,50
1472522472,83,87
1472610982,49,50
1472695696,78,85
1472784249,48,50
1472869467,75,81
1472957778,50,50
1473042984,92,92
1473129384,87,88
1473213856,85,89
1473302180,48,50
1473390745,49,50
1473475219,85,90
1473563779,50,50
1473648502,90,91
1473734902,85,89
1473823453,50,50
1473908449,94,94
1473996983,49,50
1474081938,92,93
1474166646,92,92
1474254982,50,50
1474343304,48,50
1474428017,87,90
1474516591,49,50
1474601303,91,93
1474687943,50,50
1474772660,89,90
1474862020,49,50
1474948343,82,86
1475036660,50,50
1475121140,85,87
1475206340,85,87
1475293215,49,50
1475381793,50,50
1475470108,50,50
1475556493,93,95
1475643137,50,50
1475730251,50,50
1475816894,49,50
1475907222,50,50
1475991614,92,92
1476076334,87,88
1476162973,50,50
1476252255,48,50
1476336774,85,88
1476423142,88,90
1476511694,47,50
1476598575,50,50
1476686888,50,50
1476771620,88,88
1476860464,49,50
1476944899,90,91
1477033456,50,50
1477118416,93,94
1477208680,49,50
1477295298,50,50
1477383851,50,50
1477470251,85,86
1477554763,89,90
1477643535,50,50
1477729932,94,94
1477817290,50,50
1477902067,96,97
1477986977,95,95
1478077261,50,50
1478160743,90,90
1478249770,50,50
1478334741,88,89
1478423309,48,50
1478508250,91,94
1478592978,89,91
1478681295,48,50
1478769861,50,50
1478856509,50,50
1478941460,90,91
1479029544,50,50
1479114263,93,94
1479207177,50,50
1479292344,100,100
1479378993,50,50
1479467551,50,50
1479553955,50,50
1479639152,88,89
1479727697,48,50
1479817944,50,50
1479902512,93,94
1479987141,84,89
1480076171,50,50
1480161381,91,91
1480246598,92,93
1480334904,49,50
1480423221,50,50
1480508439,93,93
1480616652,50,50
1480682185,99,100
1480770996,49,50
1480855534,98,99
1480944737,46,50
1481031353,50,50
1481117795,50,50
1481207544,50,50
1481292750,99,100
1481377703,88,89
1481462679,94,94
1481551298,50,50
1481640265,49,50
1481724755,87,89
1481813555,47,50
1481898268,86,90
1481986573,47,50
1482071800,88,92
1482156762,88,89
1482245564,49,50
1482332204,44,50
1482417403,81,90
1482505954,50,50
1482969864,48,50
1483035148,81,86
1483125863,48,50
1483210350,83,88
1483260266,50,50
1483294828,80,84
1483383149,47,50
1483467628,84,89
1483556171,47,50
1483640905,81,84
1483729291,47,50
1490858173,50,50
1490912647,99,100
1491000971,48,50
1491086187,86,89
1491174498,49,50
1491259220,94,96
1491347350,50,50
1491432267,92,94
1491517215,97,99
1491605784,50,50
1491690506,96,96
1491779307,50,50
1491864011,98,99
1491952829,50,50
1492037533,97,97
1492122515,98,99
1492211542,50,50
1492296749,92,95
1492381947,91,93
1492470747,50,50
1492559065,50,50
1492643778,92,92
1492728494,93,94
1492817552,50,50
1492902518,93,93
1492991313,49,50
1493076263,90,92
1493163627,50,50
1493248588,96,96
1493337698,50,50
1493420908,94,94
1493507781,49,50
1493597308,50,50
1493682492,90,92
1493767538,91,93
1493856510,49,50
1493940984,93,94
1494027963,50,50
1494112830,97,97
1494201864,49,50
1494286827,99,100
1494375150,49,50
1494460111,94,97
1494545052,96,97
1494633870,50,50
1494720514,50,50
1494805933,95,96
1494894992,50,50
1494979958,92,93
1495064893,98,98
1495153695,48,50
1495238544,89,92
1495326971,48,50
1495413376,50,50
1495498569,99,100
1495587152,50,50
1495673794,50,50
1495758735,96,97
1495843722,96,97
1495932265,50,50
1496017232,100,100
1496102677,95,96
1496189546,50,50
1496278884,50,50
1496362114,96,96
1496451700,50,50
1496536109,92,92
1496624911,50,50
1496709387,96,96
1496795071,96,96
1496883868,50,50
1496968340,93,94
1497053311,92,93
1497142350,50,50
1497227060,93,93
1497315867,49,50
1497400594,96,99
1497485534,94,97
1497574094,50,50
1497659068,92,92
1497747378,49,50
1497833075,90,91
1497918750,94,94
1498007325,49,50
1498091771,93,94
1498176993,98,98
1498266269,50,50
1498351449,96,96
1498440014,48,50
1498523547,96,98
1498612836,50,50
1498697791,98,98
1498782756,87,93
1498871776,47,50
1498956743,85,93
1499044829,46,50
1499130747,95,99
1499216181,95,95
1499304987,49,50
1499389950,94,95
1499475132,89,90
1499563708,50,50
1499648892,94,94
1499737225,50,50
1499822439,99,99
1499909542,49,50
1499994751,94,95
1500083308,50,50
1500167788,95,95
1500253295,92,92
1500342270,50,50
1500427229,94,95
