DateTime,Entries,UniqueIPs
1460749455,94,94
1460834906,92,93
1460920574,91,92
1461007710,50,50
1461092918,96,96
1461179055,92,93
1461265480,50,50
1461353295,50,50
1461441623,50,50
1461526099,94,94
1461614895,50,50
1461699847,95,95
1461786497,50,50
1461875297,49,50
1461959781,93,94
1462045934,92,93
1462134499,50,50
1462220856,98,98
1462307302,50,50
1462391775,94,94
1462480097,50,50
1462564573,94,94
1462653131,50,50
1462737613,95,96
1462825941,50,50
1462910438,93,93
1462995859,92,93
1463084655,50,50
1463169641,92,93
1463259628,50,50
1463344582,92,94
1463433136,50,50
1463521689,50,50
1463606655,95,96
1463695224,50,50
1463779698,95,96
1463866825,50,50
1463951539,92,92
1464038171,50,50
1464127221,49,50
1464213853,50,50
1464298345,96,97
1464386891,50,50
1464472096,92,94
1464556809,90,93
1464645142,50,50
1464729611,94,94
1464817933,50,50
1464902658,94,94
1464990979,50,50
1465075698,94,96
1465164253,49,50
1465300572,49,50
1465339214,98,99
1465423695,96,97
1465511553,50,50
1465596017,98,98
1465684579,50,50
1465770975,96,96
1465857867,50,50
1465942585,93,94
1466031138,50,50
1466116099,96,96
1466201089,94,95
1466289856,47,50
1466374337,83,88
1466462896,49,50
1466547373,86,92
1466635697,49,50
1466720179,90,92
1466808499,49,50
1466893219,90,92
1466981532,50,50
1467066502,96,97
1467151468,98,99
1467239773,50,50
1467324268,97,98
1467411400,49,50
1467672267,48,50
1467757213,94,98
1467841939,88,92
1467930754,49,50
1468015457,93,94
1468102583,49,50
1468191141,50,50
1468277533,93,94
1468362255,94,96
1468447695,97,98
1468536254,49,50
1468620977,95,97
1468709551,50,50
1468796431,49,50
1468882829,95,96
1468967299,97,100
1469052086,90,94
1469140344,49,50
1469224838,92,94
1469311239,49,50
1469397863,46,50
1469486176,48,50
1469570893,90,94
1469659217,50,50
1469743696,95,96
1469832009,50,50
1469916494,96,97
1470004812,49,50
1470091211,96,98
1470177852,50,50
1470262373,97,98
1470350660,49,50
1470435131,97,98
1470523453,50,50
1470607941,96,96
1470694573,50,50
1470782905,50,50
1470867232,96,96
1470955694,50,50
1471040424,95,97
1471128752,48,50
1471213233,94,96
1471301534,48,50
1471386030,94,96
1471474341,50,50
1471559056,90,92
1471648097,50,50
1471732811,92,92
1471817581,94,95
1471906341,49,50
1471992986,50,50
1472077711,93,94
1472166079,49,50
1472250734,93,96
1472337395,49,50
1472426418,50,50
1472510901,94,95
1472595614,94,97
1472683942,48,50
1472768901,92,94
1472857943,48,50
1472942410,95,97
1473031216,50,50
1473114019,98,99
1473202346,49,50
1473286819,93,96
1473375378,50,50
1473459859,96,97
1473548180,49,50
1473633146,93,96
1473719548,50,50
1473808106,50,50
1473893056,96,96
1473981620,50,50
1474066577,96,97
1474151293,97,99
1474239650,49,50
1474324101,94,95
1474412459,49,50
1474497141,89,93
1474585940,50,50
1474676431,48,50
1474765006,48,50
1474849456,96,98
1474936816,49,50
1475021296,93,94
1475109616,48,50
1475194811,89,94
1475279805,87,94
1475368343,49,50
1475453061,85,90
1475539459,90,94
1475627779,47,50
1475714656,46,50
1475801057,45,50
1475886088,92,98
1475974573,44,50
1476059308,83,94
1476144492,96,97
1476233055,49,50
1476317540,89,93
1476403944,50,50
1476492494,48,50
1476579151,47,50
1476663622,92,95
1476751941,48,50
1476836415,89,93
1476922809,92,94
1477009451,49,50
1477097775,49,50
1477182499,88,92
1477269140,50,50
1477357455,50,50
1477441935,98,98
1477530496,50,50
1477614970,95,96
1477703355,49,50
1477789946,50,50
1477873229,50,50
1477971146,50,50
1478047979,95,95
1478132656,93,93
1478221295,48,50
1478308345,50,50
1478392832,94,94
1478481380,49,50
1478566094,95,97
1478650573,92,95
1478739146,50,50
1478825769,50,50
1478910752,91,91
1478999001,48,50
1479083619,96,98
1479172109,50,50
1479257781,99,100
1479342506,93,97
1479430866,50,50
1479517466,48,50
1479602190,94,97
1479690977,49,50
1479775949,99,100
1479863303,49,50
1479947787,98,99
1480036347,49,50
1480120822,95,96
1480209373,49,50
1480294099,95,96
1480378828,98,98
1480465966,47,50
1480554523,49,50
1480639694,93,95
1480724425,97,99
1480813287,50,50
1480899689,50,50
1480986355,50,50
1481073701,47,50
1481157143,93,97
1481246430,50,50
1481331376,96,98
1481416587,95,98
1481505155,50,50
1481590104,97,100
1481678664,50,50
1481763151,100,100
1481848355,99,100
1481936658,50,50
1482021383,97,99
1482110198,49,50
1482195383,92,98
1482280100,94,99
1482367218,50,50
1482454108,50,50
1482539064,92,97
1482968423,50,50
1482987688,96,99
1483076661,50,50
1483162108,90,91
1483246883,98,98
1483258359,50,50
1483335161,93,94
1483421551,89,93
1483509865,50,50
1483594584,98,99
1483679295,95,97
1483767627,46,50
1490858173,50,50
1490916491,94,96
1491004894,50,50
1491090028,98,98
1491174498,95,96
1491263059,49,50
1491347349,94,95
1491436096,49,50
1491521066,96,98
1491609704,50,50
1491694353,98,98
1491779307,99,99
1491867852,49,50
1491952828,91,93
1492041405,50,50
1492126336,98,98
1492211541,97,98
1492300589,49,50
1492385782,97,98
1492470746,96,96
1492559064,50,50
1492643777,98,98
1492732357,48,50
1492817551,97,99
1492902518,92,92
1492991313,49,50
1493076262,95,98
1493164903,50,50
1493250250,99,100
1493335711,92,98
1493420907,86,96
1493521692,44,50
1493596356,80,90
1493681047,83,92
1493771784,50,50
1493856510,93,94
1493940983,94,96
1494035600,50,50
1494114499,95,96
1494199212,91,96
1494288269,48,50
1494373451,91,96
1494458625,94,98
1494547467,50,50
1494634092,50,50
1494720513,50,50
1494805932,95,95
1494891154,95,97
1494976123,95,97
1495064893,49,50
1495149849,94,96
1495238543,50,50
1495323154,95,99
1495409570,49,50
1495494752,97,98
1495583312,50,50
1495670500,50,50
1495755151,97,98
1495843721,49,50
1495928430,93,96
1496013375,94,94
1496102676,50,50
1496189545,50,50
1496274987,97,97
1496362113,50,50
1496447784,95,97
1496532264,99,99
1496618905,49,50
1496707945,49,50
1496792411,95,96
1496880990,49,50
1496965446,93,95
1497050433,97,98
1497138730,50,50
1497223700,99,99
1497312513,50,50
1497397224,98,99
1497485789,50,50
1497570492,97,97
1497656180,97,98
1497741627,96,97
1497830542,49,50
1497916350,95,98
1498001784,96,98
1498087230,96,99
1498176993,50,50
1498262519,97,97
1498347625,99,99
1498436191,50,50
1498519705,92,94
1498608741,49,50
1498693949,96,98
1498778668,96,97
1498867947,50,50
1498952905,96,97
1499040995,50,50
1499126895,99,99
1499212343,98,99
1499297062,97,97
1499386115,50,50
1499471295,97,98
1499559871,50,50
1499645074,99,99
1499729547,97,98
1499818581,50,50
1499901855,100,100
1499990917,49,50
1500075382,94,95
1500163936,49,50
1500249386,77,78
1500334588,78,79
1500423391,49,50
