DateTime,Entries,UniqueIPs
1488925004,19086,19086
1488968666,19171,19171
1489012359,19194,19194
1489056038,19222,19222
1489099707,19263,19263
1489143388,19287,19287
1489187080,19330,19330
1489230760,19352,19352
1489274437,19389,19389
1489318118,19411,19411
1489361780,19449,19449
1489405475,19477,19477
1489449186,19506,19506
1489492927,19534,19534
1489536738,19571,19571
1489580444,19595,19595
1489624134,19622,19622
1489667802,19638,19638
1489711466,19671,19671
1489777316,19725,19725
1489821151,19746,19746
1489864828,19777,19777
1489908812,19803,19803
1489974778,19856,19856
1490018520,19878,19878
1490084696,19925,19925
1490128346,19958,19958
1490172038,19981,19981
1490215710,20024,20024
1490259407,20045,20045
1490303072,20073,20073
1490346769,20098,20098
1490390428,20132,20132
1490434111,20157,20157
1490477792,20188,20188
1490521467,20209,20209
1490565153,20253,20253
1490608932,20274,20274
1490652761,20316,20316
1490696430,20338,20338
1490740118,20373,20373
1490783797,20396,20396
1490827454,20436,20436
1490871145,20470,20470
1490914939,20511,20511
1490958764,20531,20531
1491002433,20572,20572
1491046120,20603,20603
1491089782,20637,20637
1491133473,20665,20665
1491177161,20693,20693
1491220918,20719,20719
1491264740,20757,20757
1491308431,20779,20779
1491352108,20811,20811
1491395824,20838,20838
1491439454,20871,20871
1491483153,20907,20907
1491526924,20944,20944
1491570748,20971,20971
1491614447,21000,21000
1491658116,21040,21040
1491701812,21067,21067
1491745457,21094,21094
1491789158,21139,21139
1491832905,21179,21179
1491876754,21200,21200
1491920436,21232,21232
1491964388,21251,21251
1492008040,21275,21275
1492051734,21303,21303
1492095400,21327,21327
1492139327,21357,21357
1492183002,21390,21390
1492226660,21413,21413
1492270366,21436,21436
1492314032,21462,21462
1492357712,21493,21493
1492401387,21516,21516
1492467395,21551,21551
1492511080,21565,21565
1492554760,21601,21601
1492598442,21622,21622
1492686137,21659,21659
1492729955,21686,21686
1492773651,21705,21705
1492817305,21733,21733
1492882849,21779,21779
1492948370,21829,21829
1492992300,21865,21865
1493058047,21903,21903
1493123836,21944,21944
1493167746,21971,21971
1493211433,21997,21997
1493255350,22029,22029
1493299108,22058,22058
1493342949,22081,22081
1493386611,22109,22109
1493430253,22138,22138
1493473993,22155,22155
1493517699,22178,22178
1493561565,22210,22210
1493605509,22240,22240
1493649197,22275,22275
1493692860,22297,22297
1493736928,22316,22316
1493780943,22334,22334
1493824870,22367,22367
1493868793,22388,22388
1493912423,22419,22419
1493956120,22446,22446
1493999798,22467,22467
1494043471,22483,22483
1494087159,22508,22508
1494130848,22526,22526
1494174506,22551,22551
1494218183,22581,22581
1494261877,22617,22617
1494305557,22647,22647
1494349294,22675,22675
1494392926,22698,22698
1494436613,22720,22720
1494480262,22734,22734
1494523955,22756,22756
1494567639,22776,22776
1494611325,22797,22797
1494654982,22817,22817
1494698684,22848,22848
1494742366,22874,22874
1494786059,22924,22924
1494829729,22940,22940
1494873656,22966,22966
1494917306,22984,22984
1494960978,23012,23012
1495004682,23039,23039
1495048348,23071,23071
1495092041,23106,23106
1495135726,23154,23154
1495179399,23188,23188
1495223073,23241,23241
1495266782,23281,23281
1495310546,23341,23341
1495354342,23379,23379
1495398025,23432,23432
1495441705,23472,23472
1495485405,23529,23529
1495529054,23577,23577
1495572738,23640,23640
1495616554,23684,23684
1495660382,23741,23741
1495704040,23778,23778
1495747707,23834,23834
1495791386,23873,23873
1495835055,23911,23911
1495878746,23946,23946
1495922500,23999,23999
1495966358,24035,24035
1496010059,24092,24092
1496053706,24141,24141
1496097414,24199,24199
1496141070,24238,24238
1496184776,24285,24285
1496228503,24326,24326
1496272351,24380,24380
1496316051,24420,24420
1496360456,24471,24471
1496404101,24508,24508
1496447795,24567,24567
1496491477,24615,24615
1496535172,24659,24659
1496578846,24701,24701
1496622499,24756,24756
1496666200,24812,24812
1496709875,24881,24881
1496753568,24938,24938
1496797314,24995,24995
1496841175,25044,25044
1496884849,25091,25091
1496928517,25140,25140
1496972196,25195,25195
1497015858,25249,25249
1497059557,25307,25307
1497103303,25367,25367
1497147167,25422,25422
1497190855,25479,25479
1497234521,25528,25528
1497278199,25583,25583
1497321876,25632,25632
1497365563,25688,25688
1497409351,25745,25745
1497453416,25793,25793
1497497063,25839,25839
1497540765,25887,25887
1497584421,25934,25934
1497628140,25988,25988
1497671794,26026,26026
1497715482,26086,26086
1497759187,26133,26133
1497802863,26179,26179
1497846786,26222,26222
1497890455,26272,26272
1497934136,26318,26318
1498021987,26433,26433
1498065705,26489,26489
1498109341,26548,26548
1498153015,26608,26608
1498196669,26658,26658
1498240345,26721,26721
1498284126,26764,26764
1498327953,26831,26831
1498371636,26866,26866
1498415332,26913,26913
1498459017,26958,26958
1498503244,27028,27028
1498546904,27071,27071
1498590556,27148,27148
1498634196,27204,27204
1498677862,27268,27268
1498721572,27319,27319
1498896280,27422,27422
1498940213,27495,27495
1498983859,27542,27542
1499027570,27599,27599
1499071232,27649,27649
1499114927,27726,27726
1499158954,27772,27772
1499202758,27844,27844
1499246428,27898,27898
1499290124,27968,27968
1499333802,28013,28013
1499377456,28071,28071
1499421137,28127,28127
1499464862,28199,28199
1499508507,28251,28251
1499552333,28311,28311
1499596368,28362,28362
1499640039,28436,28436
1499683705,28495,28495
1499727378,28550,28550
1499772566,28602,28602
1499816434,28681,28681
1499860106,28730,28730
1499903799,28805,28805
1499947489,28872,28872
1499991412,28946,28946
1500035067,29005,29005
1500078758,29067,29067
1500122422,29134,29134
1500166104,29210,29210
1500209780,29271,29271
1500253723,29332,29332
1500297389,29391,29391
1500341060,29461,29461
1500385011,29518,29518
1500428678,29590,29590
